"iso3","year","num_genres","youth_dep_ratio","gdppc","gini","internet_pen","litrate_15","lit_rate","sec_comp","youth_pop","urban_pop","dem_index","region"
"IND",2021,179,38.0500845840831,2238.12713873311,34.2,46.31,NA,NA,87.2858123779297,25.6875909789106,35.393,6.91,"South Asia"
"IND",2022,146,37.3264583924646,2388.62119776762,NA,NA,76.3227767944336,96.5358734130859,87.2359466552734,25.3063108630078,35.872,7.04,"South Asia"
"IRL",2021,317,30.5146457743891,100172.079253421,NA,95.16956667,NA,NA,100.047698974609,19.9131720159486,63.912,9,"Europe & Central Asia"
"IRL",2022,236,30.0005269870045,104038.946076296,NA,NA,NA,NA,NA,19.5842275754147,64.183,9.13,"Europe & Central Asia"
"ISL",2021,300,28.0360692296505,68594.0081044426,NA,99.68701957,NA,NA,96.2708129882812,18.6286740383707,93.944,9.18,"Europe & Central Asia"
"ISL",2022,238,27.9296921360583,72902.9799538499,NA,NA,NA,NA,NA,18.4862636883763,93.992,9.52,"Europe & Central Asia"
"ISR",2021,174,47.0280635006205,52166.8121647134,NA,90.29689758,NA,NA,93.7484893798828,28.1698188742344,92.674,7.97,"Middle East & North Africa"
"ISR",2022,144,46.8710540459546,54659.753964319,NA,NA,NA,NA,NA,28.069166477933,92.763,7.93,"Middle East & North Africa"
"ITA",2021,236,19.8716500041253,35770.0496120858,NA,74.8623274,NA,NA,100.331413269043,12.651839655956,71.346,7.68,"Europe & Central Asia"
"ITA",2022,184,19.5702122555507,34157.990122464,NA,85.06074504,NA,NA,NA,12.4302489635651,71.657,7.69,"Europe & Central Asia"
"JPN",2021,101,20.1474668909191,39827.1267678179,NA,82.91407928,NA,NA,NA,11.7739664230637,91.867,8.15,"East Asia & Pacific"
"JPN",2022,76,19.8839843854467,33815.3172733799,NA,NA,NA,NA,NA,11.6227275864859,91.955,8.33,"East Asia & Pacific"
"KAZ",2022,179,47.6244107702236,11243.6712256386,NA,92.29685266,NA,NA,92.1903533935547,29.6657521049337,57.99,3.08,"Europe & Central Asia"
"LTU",2021,368,23.6388803188606,23712.5357765275,NA,86.93054425,99.8300018310547,99.9499969482422,100.245948791504,15.1826359279716,68.249,7.18,"Europe & Central Asia"
"LTU",2022,302,23.9882435111652,24826.7910371972,NA,87.72420219,NA,NA,NA,15.323711707584,68.465,7.31,"Europe & Central Asia"
"LUX",2021,406,22.9498814856206,133590.146975586,NA,98.66086333,NA,NA,99.3981323242188,15.9137585031619,91.672,8.68,"Europe & Central Asia"
"LUX",2022,297,22.8416686845081,126426.089934322,NA,98.24203749,NA,NA,NA,15.7999008645782,91.881,8.81,"Europe & Central Asia"
"LVA",2021,348,24.8991909060854,21080.1774491839,NA,91.17964988,99.8899993896484,99.8199996948242,96.9954223632812,15.626395804728,68.421,7.31,"Europe & Central Asia"
"LVA",2022,293,24.8632377694521,21851.1052012696,NA,91.03009059,NA,NA,NA,15.5603352549995,68.54,7.37,"Europe & Central Asia"
"MAR",2021,183,40.8574104833555,3795.38696289063,NA,88.13031937,NA,NA,73.8757934570312,26.8525314137283,64.065,5.04,"Middle East & North Africa"
"MAR",2022,158,40.4661092024348,3527.94189453125,NA,NA,77.3499984741211,98.5199966430664,72.2882766723633,26.5842979934004,64.596,5.04,"Middle East & North Africa"
"MEX",2021,181,37.2917824924616,10045.676371041,NA,75.62650476,NA,NA,92.4205322265625,24.9531348918147,81.016,5.57,"Latin America & Caribbean"
"MEX",2022,182,36.4853057691316,11091.3054302538,NA,NA,NA,NA,NA,24.5070948704323,81.3,5.25,"Latin America & Caribbean"
"MYS",2021,231,32.9019470766962,11109.2652881747,NA,96.7514278,NA,NA,80.843017578125,22.9615864848004,77.696,7.24,"East Asia & Pacific"
"MYS",2022,187,32.4711539106697,11971.9275991535,NA,97.3986404,NA,NA,83.0519561767578,22.6728586823561,78.214,7.3,"East Asia & Pacific"
"NGA",2022,132,79.7404393911292,2184.42149316828,NA,NA,NA,NA,NA,43.0446094603077,53.521,4.23,"Sub-Saharan Africa"
"NIC",2021,183,46.4424967853106,2064.92511550317,NA,57.14684935,NA,NA,NA,30.0778916698538,59.277,2.69,"Latin America & Caribbean"
"NIC",2022,178,45.7420592093505,2255.42598603695,NA,NA,NA,NA,NA,29.7240714110545,59.556,2.5,"Latin America & Caribbean"
"NLD",2021,316,24.0180428092131,57708.1112134322,NA,92.05298013,NA,NA,NA,15.5026637276371,92.572,8.88,"Europe & Central Asia"
"NLD",2022,228,24.003803423116,55985.4034255707,NA,92.51968504,NA,NA,NA,15.4249279236512,92.886,9,"Europe & Central Asia"
"NOR",2021,347,26.1280180141188,90655.3910229392,NA,99.0000036,NA,NA,99.585807800293,16.966313845532,83.323,9.75,"Europe & Central Asia"
"NOR",2022,256,25.7601554187191,106148.778627718,NA,98.99997764,NA,NA,NA,16.707318801123,83.664,9.81,"Europe & Central Asia"
"NZL",2021,303,28.9817766846977,49996.4206725811,NA,95.91020269,NA,NA,NA,18.8906428265439,86.789,9.37,"East Asia & Pacific"
"NZL",2022,255,28.7814232724407,48249.2640150011,NA,NA,NA,NA,NA,18.7042823171748,86.884,9.61,"East Asia & Pacific"
"PAK",2022,119,61.807088944449,1596.66266149236,NA,NA,NA,NA,NA,36.5655427870757,37.731,4.13,"South Asia"
"PAN",2021,199,40.6114915311144,15491.2897902482,50.9,67.509728,NA,99.25,83.5529479980469,26.4082162735589,68.775,6.85,"Latin America & Caribbean"
"PAN",2022,183,40.1430596919492,17357.6286293985,NA,NA,NA,NA,NA,26.1319034550917,69.141,6.91,"Latin America & Caribbean"
"PER",2021,206,40.2912945456503,6635.46392344859,40.2,71.10782643,NA,99.120002746582,89.0725784301758,26.3300737170471,78.5,6.09,"Latin America & Caribbean"
"PER",2022,191,39.6556668724863,7125.8292350929,NA,74.67495125,NA,NA,90.1528472900391,26.0067885989283,78.708,5.92,"Latin America & Caribbean"
"PHL",2021,190,47.8422743287491,3460.53940077621,40.7,52.67573808,NA,NA,86.183235168457,30.6367821490644,47.684,6.62,"East Asia & Pacific"
"PHL",2022,145,47.2326522620579,3498.50981598253,NA,NA,NA,NA,97.9415969848633,30.3361544922906,47.977,6.73,"East Asia & Pacific"
"POL",2021,256,23.3595645911842,17999.8322682985,NA,85.37490906,99.8000030517578,99.9000015258789,NA,15.3692941127502,60.075,6.8,"Europe & Central Asia"
"POL",2022,168,22.8532028658752,18321.2808899533,NA,86.94113568,NA,NA,NA,15.1505142283709,60.134,7.04,"Europe & Central Asia"
"PRT",2021,302,20.8176658569065,24598.4727937544,NA,82.30902804,96.7799987792969,99.7099990844727,100.60376739502,13.3432969524212,66.849,7.82,"Europe & Central Asia"
"PRT",2022,240,20.6233358279428,24274.5165823077,NA,84.49690644,NA,NA,NA,13.1825264960644,67.381,7.95,"Europe & Central Asia"
"PRY",2021,178,44.8194817811564,5959.44176327886,42.9,77.01838621,NA,98.629997253418,70.582893371582,29.0209103823071,62.496,5.86,"Latin America & Caribbean"
"PRY",2022,167,44.496628519754,6153.05567679103,45.1,76.25916611,NA,NA,67.9603729248047,28.8668618074949,62.818,5.89,"Latin America & Caribbean"
"ROU",2021,270,24.6377901108286,14927.1168555732,NA,83.5904265,98.9000015258789,99.5,68.5337905883789,16.0267810949186,54.329,6.43,"Europe & Central Asia"
"ROU",2022,192,24.3262847282821,15892.1185256988,NA,85.50309124,NA,NA,NA,15.9188797811963,54.489,6.45,"Europe & Central Asia"
"SAU",2021,299,36.7602694251537,24160.6760455307,NA,100,NA,NA,NA,26.1804835195696,84.508,2.08,"Middle East & North Africa"
"SAU",2022,271,36.4202375612877,30436.2783034025,NA,100,NA,NA,NA,25.946870840637,84.729,2.08,"Middle East & North Africa"
"SGP",2021,256,16.2330550193925,77710.0699565617,NA,96.92468156,NA,NA,97.7593688964844,11.9931281628928,100,6.23,"East Asia & Pacific"
"SGP",2022,199,16.2089531431886,82807.6490834764,NA,95.95386476,NA,NA,NA,11.8395394940683,100,6.22,"East Asia & Pacific"
"SLV",2021,176,38.9807275423459,4664.31122268385,39,62.88028717,NA,NA,NA,25.7615354676606,74.118,5.72,"Latin America & Caribbean"
"SLV",2022,178,38.2973729400627,5127.32166823012,38.8,NA,NA,NA,NA,25.4154256870471,74.767,5.06,"Latin America & Caribbean"
"SVK",2021,309,23.7418935200305,21782.8550659196,NA,88.92560523,NA,NA,83.1941528320312,15.8810670050161,53.82,7.03,"Europe & Central Asia"
"SVK",2022,227,23.3931723488968,21258.1141354655,NA,NA,NA,NA,NA,15.7396012689394,53.909,7.07,"Europe & Central Asia"
"SWE",2021,323,28.4875369920641,61143.2212428047,NA,94.6703163,NA,NA,100.318023681641,17.7140280633685,88.238,9.26,"Europe & Central Asia"
"SWE",2022,240,28.3176845545579,55873.2208108977,NA,95.00970335,NA,NA,NA,17.5997812945199,88.492,9.39,"Europe & Central Asia"
"THA",2021,144,22.6730084787968,7060.89760941608,35.1,85.26956666,94.0999984741211,98.8000030517578,131.663650512695,15.8003767064873,52.163,6.04,"East Asia & Pacific"
"THA",2022,114,22.4054076600597,6908.80211929543,NA,87.97728101,NA,NA,132.308959960938,15.5197566448691,52.889,6.67,"East Asia & Pacific"
"TUR",2021,155,34.4588472333229,9661.22773420424,NA,81.40843745,NA,NA,93.3572082519531,23.4805146046872,76.569,4.35,"Europe & Central Asia"
"TUR",2022,113,34.0996194544942,10616.0610448133,NA,83.43716576,NA,NA,NA,23.2326455154314,77.022,4.35,"Europe & Central Asia"
"TWN",2021,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.99,"East Asia & Pacific"
"TWN",2022,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.99,"East Asia & Pacific"
"UKR",2021,249,22.5939771459267,4827.845703125,NA,79.21829353,100,99.9000015258789,84.8481597900391,15.223383927132,69.757,5.57,"Europe & Central Asia"
"UKR",2022,182,23.4559517956932,4533.9755859375,NA,NA,NA,NA,NA,15.4259678650348,69.919,5.42,"Europe & Central Asia"
"URY",2021,181,29.8544959135395,17923.9953327961,40.8,90.07384089,NA,99.1800003051758,64.3670196533203,19.4366918209202,95.603,8.85,"Latin America & Caribbean"
"URY",2022,161,29.2369290027448,20795.0423535553,NA,89.87304314,NA,NA,NA,19.0982161208381,95.688,8.91,"Latin America & Caribbean"
"USA",2021,318,28.0325383233779,70219.472454115,39.8,91.75320833,NA,NA,103.428169250488,18.2430347046008,82.873,7.85,"North America"
"USA",2022,247,27.6671742353848,76398.5917422054,NA,NA,NA,NA,NA,17.9594381099047,83.084,7.85,"North America"
"VEN",2022,152,43.2081177926605,NA,NA,NA,97.5999984741211,98.7300033569336,NA,27.5742313742299,88.378,2.23,"Latin America & Caribbean"
"VNM",2021,150,32.815993761735,3756.48912237473,NA,74.20999985,NA,NA,NA,22.5451502797145,38.052,2.94,"East Asia & Pacific"
"VNM",2022,116,32.6897164251611,4163.5143004093,NA,78.58999918,NA,NA,100.272315979004,22.3901369242335,38.766,2.73,"East Asia & Pacific"
"ZAF",2021,265,43.8727003441103,7055.05517621298,NA,72.310492,90.0013580322266,96.6959228515625,97.231330871582,28.6729624931736,67.847,7.05,"Sub-Saharan Africa"
"ZAF",2022,214,43.5516249257625,6776.48007742932,NA,NA,NA,NA,NA,28.5507958905087,68.335,7.05,"Sub-Saharan Africa"
